team1,team2,score1,score2
Russia,Saudi Arabia,5,0
Egypt,Uruguay,0,1
Russia,Egypt,,
Uruguay,Saudi Arabia,,
Uruguay,Russia,,
Saudi Arabia,Egypt,,
Morocco,Iran,0,1
Portugal,Spain,3,3
Portugal,Morocco,,
Iran,Spain,,
Iran,Portugal,,
Spain,Morocco,,
France,Australia,,
Peru,Denmark,,
Denmark,Australia,,
France,Peru,,
Denmark,France,,
Australia,Peru,,
Argentina,Iceland,,
Croatia,Nigeria,,
Argentina,Croatia,,
Nigeria,Iceland,,
Nigeria,Argentina,,
Iceland,Croatia,,
Costa Rica,Serbia,,
Brazil,Switzerland,,
Brazil,Costa Rica,,
Serbia,Switzerland,,
Serbia,Brazil,,
Switzerland,Costa Rica,,
Germany,Mexico,,
Sweden,South Korea,,
South Korea,Mexico,,
Germany,Sweden,,
South Korea,Germany,,
Mexico,Sweden,,
Belgium,Panama,,
Tunisia,England,,
Belgium,Tunisia,,
England,Panama,,
England,Belgium,,
Panama,Tunisia,,
Colombia,Japan,,
Poland,Senegal,,
Japan,Senegal,,
Poland,Colombia,,
Japan,Poland,,
Senegal,Colombia,,
